millis,stamp,datetime,soil_moisture
10998, 1566583665, 2019/8/23 18:7:45, 682
25999, 1566583680, 2019/8/23 18:8:0, 730
40999, 1566583695, 2019/8/23 18:8:15, 699
71000, 1566583725, 2019/8/23 18:8:45, 655
100999, 1566583755, 2019/8/23 18:9:15, 642
131000, 1566583785, 2019/8/23 18:9:45, 643
160998, 1566583815, 2019/8/23 18:10:15, 641
190999, 1566583845, 2019/8/23 18:10:45, 641
220999, 1566583875, 2019/8/23 18:11:15, 639
250998, 1566583905, 2019/8/23 18:11:45, 637
280999, 1566583935, 2019/8/23 18:12:15, 637
311000, 1566583965, 2019/8/23 18:12:45, 638
341000, 1566583995, 2019/8/23 18:13:15, 637
371000, 1566584025, 2019/8/23 18:13:45, 637
400999, 1566584055, 2019/8/23 18:14:15, 639
430999, 1566584085, 2019/8/23 18:14:45, 640
460999, 1566584115, 2019/8/23 18:15:15, 640
490999, 1566584145, 2019/8/23 18:15:45, 648
520999, 1566584175, 2019/8/23 18:16:15, 641
551000, 1566584205, 2019/8/23 18:16:45, 643
580999, 1566584235, 2019/8/23 18:17:15, 644
610999, 1566584265, 2019/8/23 18:17:45, 645
640999, 1566584295, 2019/8/23 18:18:15, 647
670999, 1566584325, 2019/8/23 18:18:45, 647
700999, 1566584355, 2019/8/23 18:19:15, 646
730999, 1566584385, 2019/8/23 18:19:45, 648
744998, 1566584400, 2019/8/23 18:20:0, 648
775000, 1566584430, 2019/8/23 18:20:30, 648
804999, 1566584460, 2019/8/23 18:21:0, 647
835000, 1566584490, 2019/8/23 18:21:30, 650
864999, 1566584520, 2019/8/23 18:22:0, 650
894999, 1566584550, 2019/8/23 18:22:30, 651
924999, 1566584580, 2019/8/23 18:23:0, 650
954998, 1566584610, 2019/8/23 18:23:30, 652
984999, 1566584640, 2019/8/23 18:24:0, 652
1015000, 1566584670, 2019/8/23 18:24:30, 653
1044999, 1566584700, 2019/8/23 18:25:0, 654
1074999, 1566584730, 2019/8/23 18:25:30, 653
1104999, 1566584760, 2019/8/23 18:26:0, 654
1134999, 1566584790, 2019/8/23 18:26:30, 655
1164998, 1566584820, 2019/8/23 18:27:0, 654
1194999, 1566584850, 2019/8/23 18:27:30, 656
1224999, 1566584880, 2019/8/23 18:28:0, 656
1255000, 1566584910, 2019/8/23 18:28:30, 656
1285000, 1566584940, 2019/8/23 18:29:0, 656
1315000, 1566584970, 2019/8/23 18:29:30, 658
1344998, 1566585000, 2019/8/23 18:30:0, 658
1374999, 1566585030, 2019/8/23 18:30:30, 657
1404999, 1566585060, 2019/8/23 18:31:0, 658
1434998, 1566585090, 2019/8/23 18:31:30, 658
1464999, 1566585120, 2019/8/23 18:32:0, 660
1495000, 1566585150, 2019/8/23 18:32:30, 658
1524999, 1566585180, 2019/8/23 18:33:0, 660
1555000, 1566585210, 2019/8/23 18:33:30, 660
1584999, 1566585240, 2019/8/23 18:34:0, 659
1614998, 1566585270, 2019/8/23 18:34:30, 663
1644999, 1566585300, 2019/8/23 18:35:0, 662
1674999, 1566585330, 2019/8/23 18:35:30, 662
1704999, 1566585360, 2019/8/23 18:36:0, 663
1735000, 1566585390, 2019/8/23 18:36:30, 664
1765000, 1566585420, 2019/8/23 18:37:0, 664
1794999, 1566585450, 2019/8/23 18:37:30, 663
1824999, 1566585480, 2019/8/23 18:38:0, 664
1854999, 1566585510, 2019/8/23 18:38:30, 666
1884998, 1566585540, 2019/8/23 18:39:0, 667
1914999, 1566585570, 2019/8/23 18:39:30, 668
1944999, 1566585600, 2019/8/23 18:40:0, 667
1975000, 1566585630, 2019/8/23 18:40:30, 668
2005000, 1566585660, 2019/8/23 18:41:0, 669
2035000, 1566585690, 2019/8/23 18:41:30, 668
2064998, 1566585720, 2019/8/23 18:42:0, 670
2094999, 1566585750, 2019/8/23 18:42:30, 671
2124999, 1566585780, 2019/8/23 18:43:0, 671
2154998, 1566585810, 2019/8/23 18:43:30, 670
2184999, 1566585840, 2019/8/23 18:44:0, 670
2215000, 1566585870, 2019/8/23 18:44:30, 671
2244999, 1566585900, 2019/8/23 18:45:0, 672
2274999, 1566585930, 2019/8/23 18:45:30, 672
2304999, 1566585960, 2019/8/23 18:46:0, 678
2334999, 1566585990, 2019/8/23 18:46:30, 674
2378999, 1566586035, 2019/8/23 18:47:15, 675
2408999, 1566586065, 2019/8/23 18:47:45, 675
2439000, 1566586095, 2019/8/23 18:48:15, 674
2468999, 1566586125, 2019/8/23 18:48:45, 675
2499000, 1566586155, 2019/8/23 18:49:15, 676
2528999, 1566586185, 2019/8/23 18:49:45, 677
2558999, 1566586215, 2019/8/23 18:50:15, 677
2588998, 1566586245, 2019/8/23 18:50:45, 677
2618998, 1566586275, 2019/8/23 18:51:15, 678
2648999, 1566586305, 2019/8/23 18:51:45, 679
2679000, 1566586335, 2019/8/23 18:52:15, 678
2709000, 1566586365, 2019/8/23 18:52:45, 680
2739000, 1566586395, 2019/8/23 18:53:15, 680
2768999, 1566586425, 2019/8/23 18:53:45, 681
2798998, 1566586455, 2019/8/23 18:54:15, 682
2828999, 1566586485, 2019/8/23 18:54:45, 682
2858999, 1566586515, 2019/8/23 18:55:15, 682
2888999, 1566586545, 2019/8/23 18:55:45, 683
2918999, 1566586575, 2019/8/23 18:56:15, 682
2949000, 1566586605, 2019/8/23 18:56:45, 683
2979000, 1566586635, 2019/8/23 18:57:15, 684
3008998, 1566586665, 2019/8/23 18:57:45, 684
3038999, 1566586695, 2019/8/23 18:58:15, 685
3068998, 1566586725, 2019/8/23 18:58:45, 685
3098998, 1566586755, 2019/8/23 18:59:15, 686
3128999, 1566586785, 2019/8/23 18:59:45, 686
3159000, 1566586815, 2019/8/23 19:0:15, 685
3189000, 1566586845, 2019/8/23 19:0:45, 686
3218999, 1566586875, 2019/8/23 19:1:15, 687
3248999, 1566586905, 2019/8/23 19:1:45, 688
3278999, 1566586935, 2019/8/23 19:2:15, 688
3308998, 1566586965, 2019/8/23 19:2:45, 688
3338999, 1566586995, 2019/8/23 19:3:15, 689
3368999, 1566587025, 2019/8/23 19:3:45, 690
3398999, 1566587055, 2019/8/23 19:4:15, 690
3429000, 1566587085, 2019/8/23 19:4:45, 691
3459000, 1566587115, 2019/8/23 19:5:15, 691
3488998, 1566587145, 2019/8/23 19:5:45, 692
3518999, 1566587175, 2019/8/23 19:6:15, 692
3548999, 1566587205, 2019/8/23 19:6:45, 693
3578998, 1566587235, 2019/8/23 19:7:15, 694
3608999, 1566587265, 2019/8/23 19:7:45, 692
3639000, 1566587295, 2019/8/23 19:8:15, 694
3668999, 1566587325, 2019/8/23 19:8:45, 694
3699000, 1566587355, 2019/8/23 19:9:15, 695
3728999, 1566587385, 2019/8/23 19:9:45, 695
3758999, 1566587415, 2019/8/23 19:10:15, 695
3788999, 1566587445, 2019/8/23 19:10:45, 696
3832999, 1566587490, 2019/8/23 19:11:30, 701
3847998, 1566587505, 2019/8/23 19:11:45, 696
3877999, 1566587535, 2019/8/23 19:12:15, 696
3907998, 1566587565, 2019/8/23 19:12:45, 698
3937999, 1566587595, 2019/8/23 19:13:15, 698
3968000, 1566587625, 2019/8/23 19:13:45, 698
3997999, 1566587655, 2019/8/23 19:14:15, 696
4028000, 1566587685, 2019/8/23 19:14:45, 698
4057998, 1566587715, 2019/8/23 19:15:15, 689
4087999, 1566587745, 2019/8/23 19:15:45, 686
4117999, 1566587775, 2019/8/23 19:16:15, 687
4147998, 1566587805, 2019/8/23 19:16:45, 688
4177999, 1566587835, 2019/8/23 19:17:15, 688
4208000, 1566587865, 2019/8/23 19:17:45, 689
4237999, 1566587895, 2019/8/23 19:18:15, 690
4268000, 1566587925, 2019/8/23 19:18:45, 690
4297998, 1566587955, 2019/8/23 19:19:15, 689
4327999, 1566587985, 2019/8/23 19:19:45, 692
4357999, 1566588015, 2019/8/23 19:20:15, 691
4387999, 1566588045, 2019/8/23 19:20:45, 693
4417999, 1566588075, 2019/8/23 19:21:15, 693
4447998, 1566588105, 2019/8/23 19:21:45, 693
4478000, 1566588135, 2019/8/23 19:22:15, 692
4507999, 1566588165, 2019/8/23 19:22:45, 694
4537999, 1566588195, 2019/8/23 19:23:15, 694
4567999, 1566588225, 2019/8/23 19:23:45, 695
